hops,method,duration
1,bfs,991830000
1,bfs,983983000
1,bfs,990861000
1,bfs,977980000
1,bfs,994513000
1,bfs,1115816000
1,bfs,990996000
1,bfs,985180000
1,bfs,980878000
1,bfs,987254000
1,bfs,984489000
1,bfs,1008556000
1,bfs,996535000
1,bfs,1014499000
1,bfs,1089631000
1,bfs,1028486000
1,bfs,982300000
1,bfs,1005046000
1,bfs,993124000
1,bfs,978673000
1,bfs,984452000
1,bfs,987325000
1,bfs,988941000
1,bfs,1099891000
1,bfs,991342000
1,bfs,976559000
1,bfs,980405000
1,bfs,986544000
1,bfs,1023741000
1,bfs,993588000
1,bfs,992057000
1,bfs,1006914000
1,bfs,1039442000
1,bfs,1045246000
1,bfs,1002276000
1,bfs,969952000
1,bfs,986392000
1,bfs,981134000
1,bfs,982010000
1,bfs,993430000
1,bfs,988398000
1,bfs,992115000
1,bfs,1129425000
1,bfs,986165000
1,bfs,986496000
1,bfs,975444000
1,bfs,1038228000
1,bfs,991128000
1,bfs,1003141000
1,bfs,992677000
1,bfs,1014850000
1,bfs,1095353000
1,bfs,1001888000
1,bfs,978637000
1,bfs,995591000
1,bfs,984242000
1,bfs,990011000
1,bfs,985050000
1,bfs,984052000
1,bfs,980512000
1,bfs_atom,1029757000
1,bfs_atom,1014853000
1,bfs_atom,1005413000
1,bfs_atom,1021675000
1,bfs_atom,1016681000
1,bfs_atom,1040153000
1,bfs_atom,1136481000
1,bfs_atom,1017820000
1,bfs_atom,989928000
1,bfs_atom,987361000
1,bfs_atom,1011660000
1,bfs_atom,993384000
1,bfs_atom,996969000
1,bfs_atom,1010174000
1,bfs_atom,990722000
1,bfs_atom,1000875000
1,bfs_atom,1040780000
1,bfs_atom,958406000
1,bfs_atom,960608000
1,bfs_atom,982271000
1,bfs_atom,959718000
1,bfs_atom,973273000
1,bfs_atom,992476000
1,bfs_atom,998694000
1,bfs_atom,1052469000
1,bfs_atom,1096947000
1,bfs_atom,1019784000
1,bfs_atom,977158000
1,bfs_atom,991509000
1,bfs_atom,990190000
1,bfs_atom,988357000
1,bfs_atom,967494000
1,bfs_atom,1014395000
1,bfs_atom,1058674000
1,bfs_atom,972975000
1,bfs_atom,1110219000
1,bfs_atom,954223000
1,bfs_atom,1005841000
1,bfs_atom,1057398000
1,bfs_atom,977073000
1,bfs_atom,1024737000
1,bfs_atom,984233000
1,bfs_atom,985417000
1,bfs_atom,987880000
1,bfs_atom,1044553000
1,bfs_atom,958663000
1,bfs_atom,950945000
1,bfs_atom,1070569000
1,bfs_atom,1039377000
1,bfs_atom,1042612000
1,bfs_atom,977201000
1,bfs_atom,1004441000
1,bfs_atom,1019140000
1,bfs_atom,975470000
1,bfs_atom,1097836000
1,bfs_atom,960392000
1,bfs_atom,949307000
1,bfs_atom,992982000
1,bfs_atom,959552000
1,bfs_atom,979786000
